customer_id,signup_date,age_group,gender,city,customer_type,loyalty_tier
C0001,11/06/2020,18-25,Male,Liverpool,New,Silver
C0002,11/04/2022,56-65,Male,Newcastle,New,Gold
C0003,27/09/2020,26-35,Male,Cardiff,Returning,Bronze
C0004,19/06/2023,56-65,Female,Leicester,New,Bronze
C0005,08/04/2022,26-35,Male,Leicester,New,Silver
C0006,30/11/2020,18-25,Female,Glasgow,Returning,Silver
C0007,28/04/2020,26-35,Female,Southampton,New,Silver
C0008,23/03/2023,36-45,Female,Belfast,New,Silver
C0009,29/10/2022,26-35,Male,Southampton,Returning,Bronze
C0010,24/11/2022,36-45,Female,Sheffield,Returning,Bronze
C0011,10/06/2020,36-45,Male,London,Returning,Silver
C0012,11/05/2021,46-55,Male,Bristol,Returning,Bronze
C0013,23/02/2021,26-35,Male,Manchester,Returning,Bronze
C0014,13/11/2022,46-55,Male,Sheffield,New,Silver
C0015,03/11/2022,18-25,Male,Leeds,New,Silver
C0016,31/01/2022,46-55,Male,Glasgow,Returning,Gold
C0017,23/05/2021,36-45,Male,Bristol,Returning,Bronze
C0018,06/01/2020,36-45,Male,Bristol,New,Bronze
C0019,17/09/2023,26-35,Male,Cardiff,Returning,Gold
C0020,29/09/2020,36-45,Male,Sheffield,New,Bronze
C0021,19/03/2023,18-25,Male,London,Returning,Bronze
C0022,05/08/2020,36-45,Female,London,Returning,Bronze
C0023,21/01/2020,36-45,Female,Cardiff,New,Bronze
C0024,07/09/2022,36-45,Male,Liverpool,New,Gold
C0025,24/10/2023,18-25,Female,Edinburgh,New,Gold
C0026,13/11/2020,18-25,Female,Newcastle,New,Gold
C0027,16/05/2020,46-55,Male,Nottingham,New,Bronze
C0028,15/10/2020,65+,Female,Belfast,New,Silver
C0029,17/03/2021,26-35,Female,Bristol,Returning,Bronze
C0030,27/01/2021,56-65,Female,Edinburgh,Returning,Bronze
C0031,06/03/2020,46-55,Male,Newcastle,New,Silver
C0032,25/06/2022,36-45,Male,Manchester,New,Bronze
C0033,30/08/2023,56-65,Male,Glasgow,Returning,Bronze
C0034,21/01/2024,56-65,Male,London,Returning,Bronze
C0035,04/04/2022,26-35,Male,Leicester,Returning,Bronze
C0036,29/12/2023,36-45,Male,Cardiff,New,Silver
C0037,24/04/2020,18-25,Female,Leicester,New,Silver
C0038,05/08/2022,36-45,Female,Southampton,New,Silver
C0039,03/12/2022,46-55,Female,Cardiff,New,Bronze
C0040,08/06/2024,36-45,Male,Belfast,New,Silver
C0041,09/02/2024,36-45,Non-binary,Cardiff,Returning,Bronze
C0042,04/10/2021,18-25,Female,Cardiff,Returning,Gold
C0043,25/06/2024,26-35,Male,Bristol,New,Silver
C0044,06/09/2022,46-55,Male,Southampton,New,Bronze
C0045,08/02/2020,36-45,Female,Birmingham,Returning,Bronze
C0046,22/05/2023,18-25,Male,Leicester,New,Silver
C0047,12/05/2024,26-35,Female,London,New,Bronze
C0048,11/09/2023,36-45,Female,Edinburgh,New,Silver
C0049,19/02/2024,26-35,Male,Sheffield,New,Gold
C0050,05/06/2024,36-45,Female,Leicester,New,Gold
C0051,27/07/2023,26-35,Male,Belfast,New,Bronze
C0052,09/03/2023,36-45,Male,Newcastle,New,Gold
C0053,03/05/2024,56-65,Male,Nottingham,New,Silver
C0054,08/04/2020,56-65,Female,Glasgow,Returning,Gold
C0055,17/07/2021,18-25,Female,Leeds,Returning,Bronze
C0056,13/09/2020,26-35,Male,Liverpool,New,Bronze
C0057,21/02/2024,18-25,Female,Leeds,New,Silver
C0058,24/03/2022,46-55,Female,Nottingham,New,Bronze
C0059,12/06/2021,56-65,Male,Newcastle,New,Bronze
C0060,06/11/2022,36-45,Male,Leeds,New,Gold
C0061,12/11/2022,36-45,Male,Southampton,Returning,Bronze
C0062,30/04/2023,36-45,Female,Liverpool,New,Bronze
C0063,15/08/2020,18-25,Female,Leeds,Returning,Bronze
C0064,20/11/2023,26-35,Male,London,New,Silver
C0065,19/04/2023,36-45,Male,Leeds,Returning,Gold
C0066,10/11/2022,26-35,Male,Birmingham,New,Bronze
C0067,20/02/2020,36-45,Male,Newcastle,New,Bronze
C0068,10/08/2021,26-35,Male,Leeds,New,Gold
C0069,30/09/2020,26-35,Male,Manchester,Returning,Bronze
C0070,03/02/2023,18-25,Male,Edinburgh,Returning,Bronze
C0071,09/02/2020,18-25,Female,Cardiff,New,Bronze
C0072,29/12/2022,36-45,Male,Leeds,New,Bronze
C0073,12/12/2021,36-45,Female,Manchester,New,Bronze
C0074,14/06/2023,18-25,Female,Liverpool,New,Bronze
C0075,05/04/2024,36-45,Female,London,New,Silver
C0076,04/07/2020,26-35,Male,Leeds,New,Gold
C0077,12/06/2022,36-45,Male,Birmingham,New,Silver
C0078,17/03/2024,18-25,Male,Bristol,Returning,Silver
C0079,26/12/2021,46-55,Male,Liverpool,New,Bronze
C0080,12/02/2024,36-45,Male,Belfast,New,Silver
C0081,05/07/2021,46-55,Male,Manchester,New,Bronze
C0082,22/04/2021,26-35,Female,London,Returning,Silver
C0083,13/10/2023,46-55,Female,Nottingham,New,Gold
C0084,22/03/2023,65+,Female,Cardiff,Returning,Silver
C0085,04/12/2023,56-65,Female,Cardiff,New,Silver
C0086,17/05/2020,46-55,Female,London,Returning,Bronze
C0087,01/02/2020,46-55,Female,Bristol,Returning,Silver
C0088,22/02/2021,65+,Female,Liverpool,Returning,Bronze
C0089,18/11/2023,26-35,Male,Southampton,New,Silver
C0090,23/08/2021,36-45,Female,Liverpool,New,Silver
C0091,06/03/2020,46-55,Female,Belfast,New,Bronze
C0092,07/03/2022,26-35,Male,Edinburgh,Returning,Bronze
C0093,29/12/2022,56-65,Male,London,Returning,Bronze
C0094,24/04/2022,26-35,Male,Glasgow,New,Silver
C0095,11/09/2023,18-25,Female,Leicester,New,Silver
C0096,30/07/2023,36-45,Female,Belfast,New,Gold
C0097,02/01/2020,18-25,Female,Sheffield,New,Silver
C0098,03/12/2020,46-55,Female,Leicester,Returning,Gold
C0099,13/07/2020,26-35,Female,Liverpool,New,Bronze
C0100,04/05/2024,56-65,Female,Birmingham,Returning,Bronze
C0101,08/01/2023,36-45,Male,Southampton,Returning,Silver
C0102,02/10/2020,18-25,Male,Southampton,New,Bronze
C0103,14/09/2020,18-25,Female,Edinburgh,New,Bronze
C0104,07/09/2023,36-45,Female,Cardiff,Returning,Silver
C0105,27/01/2020,26-35,Female,Leeds,New,Bronze
C0106,18/03/2023,26-35,Female,Southampton,Returning,Bronze
C0107,16/08/2020,18-25,Male,Nottingham,New,Silver
C0108,09/06/2023,26-35,Female,Nottingham,Returning,Silver
C0109,31/03/2020,56-65,Male,Nottingham,Returning,Bronze
C0110,28/09/2022,18-25,Female,Glasgow,Returning,Bronze
C0111,26/03/2022,18-25,Female,Newcastle,New,Silver
C0112,08/01/2024,46-55,Female,Leicester,New,Bronze
C0113,12/04/2020,36-45,Female,Liverpool,Returning,Silver
C0114,06/11/2022,18-25,Male,Birmingham,Returning,Silver
C0115,10/07/2023,46-55,Female,Glasgow,New,Bronze
C0116,18/12/2022,26-35,Male,Birmingham,New,Silver
C0117,14/03/2020,56-65,Male,Nottingham,Returning,Gold
C0118,24/05/2021,36-45,Male,Southampton,New,Silver
C0119,25/07/2023,18-25,Female,Leeds,Returning,Silver
C0120,18/07/2020,36-45,Male,Southampton,Returning,Bronze
C0121,23/03/2021,46-55,Female,Southampton,New,Silver
C0122,02/03/2023,46-55,Male,Birmingham,New,Bronze
C0123,31/12/2021,18-25,Female,Southampton,New,Bronze
C0124,31/08/2020,18-25,Female,Manchester,New,Bronze
C0125,26/06/2020,18-25,Female,Manchester,Returning,Bronze
C0126,30/05/2024,36-45,Male,Belfast,Returning,Bronze
C0127,18/04/2023,26-35,Female,Nottingham,New,Gold
C0128,09/08/2022,46-55,Non-binary,Cardiff,Returning,Bronze
C0129,30/03/2021,18-25,Female,London,Returning,Silver
C0130,23/06/2022,18-25,Female,Birmingham,New,Silver
C0131,24/04/2023,36-45,Male,Southampton,New,Silver
C0132,18/02/2023,26-35,Female,Birmingham,Returning,Bronze
C0133,27/01/2021,36-45,Male,Glasgow,New,Silver
C0134,15/11/2022,36-45,Male,Liverpool,Returning,Gold
C0135,25/05/2024,26-35,Male,Liverpool,Returning,Silver
C0136,06/01/2021,65+,Male,London,New,Silver
C0137,02/06/2021,26-35,Male,Leeds,Returning,Silver
C0138,15/04/2023,36-45,Female,Edinburgh,Returning,Silver
C0139,04/09/2023,26-35,Male,Birmingham,New,Bronze
C0140,11/07/2020,46-55,Female,Liverpool,Returning,Bronze
C0141,26/02/2021,56-65,Female,Glasgow,Returning,Bronze
C0142,13/11/2023,26-35,Male,Leeds,Returning,Bronze
C0143,05/03/2020,18-25,Female,Sheffield,New,Bronze
C0144,21/12/2022,46-55,Male,Leeds,New,Bronze
C0145,29/10/2023,36-45,Female,Manchester,New,Bronze
C0146,02/11/2023,56-65,Male,Glasgow,New,Bronze
C0147,01/08/2022,26-35,Male,Manchester,New,Silver
C0148,25/08/2023,56-65,Female,Liverpool,Returning,Silver
C0149,28/03/2020,26-35,Male,Glasgow,Returning,Bronze
C0150,07/05/2021,46-55,Female,Cardiff,New,Bronze
C0151,08/06/2024,26-35,Male,Liverpool,New,Bronze
C0152,06/10/2022,26-35,Male,Edinburgh,New,Bronze
C0153,24/05/2024,36-45,Male,Southampton,Returning,Silver
C0154,18/05/2024,46-55,Male,Leeds,Returning,Silver
C0155,02/03/2021,46-55,Female,Birmingham,New,Bronze
C0156,03/12/2022,26-35,Female,Bristol,Returning,Bronze
C0157,02/04/2024,46-55,Male,Belfast,New,Bronze
C0158,21/11/2020,18-25,Female,Nottingham,New,Silver
C0159,20/02/2023,36-45,Male,Southampton,New,Silver
C0160,29/11/2021,46-55,Male,Sheffield,New,Bronze
C0161,22/11/2022,26-35,Female,Leeds,Returning,Bronze
C0162,15/10/2020,46-55,Male,Liverpool,New,Bronze
C0163,24/04/2022,36-45,Female,Birmingham,New,Silver
C0164,22/04/2024,18-25,Non-binary,Glasgow,New,Bronze
C0165,25/01/2022,26-35,Male,Nottingham,New,Bronze
C0166,23/09/2021,36-45,Female,Glasgow,Returning,Silver
C0167,27/09/2022,36-45,Male,Birmingham,Returning,Silver
C0168,01/04/2022,46-55,Male,Manchester,New,Bronze
C0169,22/05/2023,18-25,Female,Liverpool,New,Gold
C0170,13/05/2020,36-45,Female,Leeds,Returning,Bronze
C0171,04/04/2024,26-35,Female,Birmingham,New,Bronze
C0172,06/09/2020,26-35,Male,London,Returning,Bronze
C0173,04/09/2021,26-35,Female,Leicester,New,Bronze
C0174,18/04/2024,26-35,Female,Bristol,New,Gold
C0175,11/09/2021,36-45,Female,Leeds,New,Bronze
C0176,23/02/2020,36-45,Female,Manchester,New,Bronze
C0177,26/08/2021,18-25,Female,Belfast,Returning,Bronze
