product_id,product_name,product_category,cost_price,list_price,supplier,launch_date
P0001,Purpose Networkin,Networking,73.76,89.25,TechCorp,12/12/2019
P0002,Ago Smartphone,Smartphones,749.65,1027.53,Nova Electronics,04/05/2021
P0003,Election Monitor,Monitors,610.97,679.83,TechCorp,24/11/2020
P0004,Chair Laptop,Laptops,271.03,363.4,Nova Electronics,15/11/2019
P0005,Require Monitor,Monitors,730.22,1008.09,Nova Electronics,22/08/2023
P0006,Begin Accessorie,Accessories,476.75,577.48,Nova Electronics,09/01/2024
P0007,Knowledge Laptop,Laptops,713.23,881.62,Nova Electronics,09/04/2019
P0008,All Smartphone,Smartphones,959.35,1184.45,Nova Electronics,19/10/2019
P0009,Discover Laptop,Laptops,141.88,204.17,Quantum Supplies,23/12/2020
P0010,Mouth Monitor,Monitors,816.77,1136.86,Digitex,14/02/2024
P0011,Agreement Monitor,Monitors,974.46,1219.45,TechCorp,10/10/2023
P0012,Decide Monitor,Monitors,837.93,1129.03,Digitex,21/08/2023
P0013,Kind Tablet,Tablets,232.67,262.41,ByteWare,15/11/2020
P0014,List Networkin,Networking,784.41,1171.98,Nova Electronics,05/01/2024
P0015,Fall Smartphone,Smartphones,411.12,526.79,TechCorp,21/01/2019
P0016,Song Tablet,Tablets,401.67,475.5,Nova Electronics,11/05/2020
P0017,Save Tablet,Tablets,939.82,1277.42,FutureTek,06/08/2022
P0018,Grow Monitor,Monitors,212.58,295.84,FutureTek,13/05/2021
P0019,Clearly Smartphone,Smartphones,410.48,614,Quantum Supplies,30/10/2020
P0020,Source Networkin,Networking,579.1,795.59,FutureTek,11/11/2021
P0021,Blue Laptop,Laptops,830.71,1181.28,Nova Electronics,16/10/2019
P0022,Husband Accessorie,Accessories,112.88,165.4,Digitex,28/10/2019
P0023,Her Monitor,Monitors,348.94,475.32,FutureTek,04/12/2021
P0024,Pm Accessorie,Accessories,485.91,585.98,FutureTek,01/04/2021
P0025,Surface Smartphone,Smartphones,583.3,702.93,FutureTek,15/05/2019
P0026,Show Monitor,Monitors,902.93,1137.48,Quantum Supplies,28/11/2022
P0027,Not Smartphone,Smartphones,534.05,606.88,Nova Electronics,23/01/2020
P0028,Win Laptop,Laptops,195.2,227.21,TechCorp,22/03/2022
P0029,Bar Networkin,Networking,616.59,773.15,Quantum Supplies,12/09/2023
P0030,Finally Monitor,Monitors,552.66,822.6,Quantum Supplies,07/05/2024
P0031,Present Laptop,Laptops,734.69,1008.5,FutureTek,28/01/2022
P0032,Participant Monitor,Monitors,780.17,964.34,Digitex,20/08/2020
P0033,Sea Tablet,Tablets,200.25,220.53,Quantum Supplies,05/08/2019
P0034,Answer Networkin,Networking,300.22,390.36,FutureTek,09/12/2020
P0035,Spring Smartphone,Smartphones,917,1328.01,ByteWare,18/06/2021
P0036,Base Tablet,Tablets,532.28,627.86,FutureTek,24/12/2020
P0037,Trial Tablet,Tablets,562.41,793.81,Nova Electronics,10/11/2019
P0038,Husband Monitor,Monitors,619,801.88,TechCorp,13/05/2021
P0039,Long Laptop,Laptops,884.79,1267.61,Digitex,29/05/2024
P0040,They Tablet,Tablets,105.03,152.42,Nova Electronics,07/02/2022
P0041,Commercial Laptop,Laptops,745.31,1063.12,TechCorp,24/02/2022
P0042,Hear Monitor,Monitors,171.97,221.86,Nova Electronics,12/10/2020
P0043,Religious Monitor,Monitors,301.8,437.3,Nova Electronics,09/04/2021
