order_date,customer_id,product_id,product_category,revenue,quantity,region,customer_acquisition_channel
05/12/2023,C0291,P0084,Monitors,3086.76,2,West Midlands,Referral
08/08/2023,C2209,P0080,Tablets,1033.86,2,South West,Organic
29/04/2024,C1668,P0049,Tablets,644.56,2,South East,Organic
17/03/2024,C1452,P0099,Networking,659.2,4,North East,Paid
25/02/2023,C2759,P0095,Smartphones,174.85,1,London,Paid
14/12/2023,C0448,P0059,Accessories,1588.32,2,Scotland,Organic
04/04/2024,C0575,P0079,Tablets,7054.04,4,North West,Organic
13/09/2023,C0309,P0081,Smartphones,7048.48,4,South East,Organic
16/01/2023,C0383,P0093,Accessories,3608.5,2,North West,Paid
07/05/2024,C0876,P0018,Accessories,954.4,4,London,Organic
03/01/2023,C1600,P0020,Laptops,4418.94,3,South West,Organic
13/05/2024,C0635,P0010,Networking,2835.16,2,West Midlands,Organic
01/03/2023,C2373,P0025,Tablets,1175.84,1,Wales,Organic
03/05/2024,C2060,P0013,Laptops,3059.34,2,London,Email
24/03/2023,C0762,P0080,Tablets,516.93,1,South East,Referral
29/08/2023,C1654,P0031,Networking,1676.52,1,Scotland,Referral
10/02/2023,C2537,P0061,Monitors,1728.52,1,North East,Referral
19/06/2024,C1296,P0028,Tablets,5913.54,3,Scotland,Referral
18/11/2023,C0978,P0011,Accessories,1439.58,3,North East,Organic
04/11/2023,C1873,P0025,Tablets,3527.52,3,South East,Organic
13/04/2023,C0301,P0040,Smartphones,2770,2,West Midlands,Organic
24/12/2023,C0282,P0014,Smartphones,2822.74,2,Wales,Organic
24/03/2024,C2226,P0090,Networking,1326.72,3,London,Referral
03/11/2023,C2718,P0053,Accessories,755.89,1,North West,Organic
20/04/2023,C2267,P0025,Tablets,2351.68,2,West Midlands,Organic
04/08/2023,C2940,P0078,Laptops,804.42,3,Scotland,Referral
28/09/2023,C2071,P0028,Tablets,7884.72,4,West Midlands,Email
22/02/2023,C0379,P0012,Monitors,2369.88,4,West Midlands,Organic
08/12/2023,C0536,P0090,Networking,1326.72,3,North West,Social
13/03/2024,C2298,P0017,Tablets,249.31,1,South East,Organic
02/06/2023,C2235,P0010,Networking,1417.58,1,Wales,Referral
01/06/2023,C1761,P0086,Monitors,744,2,London,Paid
10/02/2023,C1466,P0031,Networking,3353.04,2,Scotland,Referral
29/12/2023,C2294,P0043,Accessories,2288.36,4,North West,Email
31/08/2023,C0666,P0099,Networking,329.6,2,North East,Organic
07/12/2023,C1687,P0074,Smartphones,1558.26,2,West Midlands,Organic
21/04/2023,C1567,P0060,Accessories,1081.77,1,South West,Organic
16/04/2024,C1433,P0030,Accessories,1776.15,3,Scotland,Organic
17/07/2023,C1633,P0082,Laptops,651.06,3,West Midlands,Social
13/10/2023,C1439,P0040,Smartphones,5540,4,Wales,Email
29/04/2023,C1070,P0048,Networking,1889.52,2,West Midlands,Organic
20/03/2024,C1416,P0008,Monitors,3671.82,3,North East,Referral
07/06/2024,C0474,P0036,Networking,1534.88,4,Scotland,Organic
22/03/2024,C0007,P0014,Smartphones,2822.74,2,Wales,Paid
05/12/2023,C2553,P0072,Tablets,5073.78,3,South East,Social
04/11/2023,C2078,P0065,Networking,2140.02,3,North East,Paid
30/10/2023,C2271,P0088,Accessories,3861.02,2,Scotland,Paid
24/01/2024,C2775,P0053,Accessories,1511.78,2,West Midlands,Paid
01/01/2023,C1245,P0026,Networking,556.89,3,Scotland,Paid
